Nom,Genre,Épisodes,Date de Diffusion,Score,Rank,Téléspectateurs,Acteurs,Date Debut,Date Fin
Shan Hun Hou Wo Cheng Le Da Lao De Zhang Zhong Zhi Wu (2024),"Romance, Drama",64.0,,7.3,8025.0,756,,nan,
Chasing the Wind (2024),"Romance, Youth, Sports",20.0,,7.2,8908.0,"1,766","Jiang Zhen Yu, Gu Zi Cheng, Esther Chen, Shi Ming Ze, Xia Ning Jun, Zeng You Zhen",nan,
Broken the Heart (2024),"Historical, Romance",22.0,,7.1,9098.0,"2,522","Daisy Li, Deng Kai, Jin Wang, Bai Xu Han, Cui Yi Liang, Shang Na",nan,
Fall in Love Again (2024),"Romance, Drama",21.0,,7.1,9063.0,"2,624","Flora Dai, Aaron Deng, Luo Mi, Wei Yan Kan, Hu Yi Yao, Zoe Zhou",nan,
Her Disguise (2024),"Historical, Romance",24.0,,7.1,9115.0,687,"Leo Yang, Feng Wan He, Jin Hao Peng, Hank Qi, Zhang Xiao Qi, Jin Qiu",nan,
The Missing Snowflakes (2024),"Historical, Romance",18.0,,7.1,9226.0,833,"Zhao Jia Min, Li Jun Chen, Zhao Jiu Yi, Xu Jia Man, Cheng Yi, Wu Yi Jia",nan,
Part for Ever (2024),"Historical, Romance",28.0,,7.1,9039.0,"2,471","Cai Zheng Jie, Jiang Yuan Ya Rong, Yuan Zi Ming, Cheung Hoi Yuet, Austin Sui, Huang Chu Yao",nan,
My Beloved Wife (2024),"Historical, Comedy, Romance",20.0,,7.1,9290.0,949,"Wang Jia Yin, Han Hao Tian, Chen Zheng Yang, Wang Kai Yi, Wang Qian Hui, Liu Guang Nan",nan,
Phoenix Lands in the World (2024),"Romance, Wuxia, Fantasy",24.0,,7.1,9268.0,907,"Ke Ying, Aaron Deng, Cao Xing Yu, Li Jia Le, Gan Shu Jie",nan,
"Marry Me, My Evil Lord (2024)","Historical, Mystery, Romance",20.0,,7.1,9256.0,784,"Ma Hao Dong, Wang Xin Ting, Bo Cheng Jun, Rambo Su, Bi Shao Yan, Liu Run Ming",nan,
Fox Spirit Matchmaker: Red-Moon Pact (2024),"Romance, Wuxia, Drama, Fantasy",36.0,,7.1,9303.0,"11,688","Yang Mi, Gong Jun, Cristy Guo, Miles Wei, Hu Lian Xin, Wen Zheng Rong",nan,
Crush (2024),"Historical, Romance",24.0,,7.1,9322.0,"1,038","Zhao Ying Bo, Ling Mei Shi, Tiffany Gao, Yao Qing Ren, Li Jing Yao, Dou Yi Kun",nan,
Attacking Lady (2024),"Romance, Drama",21.0,,7.1,9452.0,"1,288","Sun Zi Jun, Yang Chuan Bei, Jiang Xin Qi, Pei Zheng Zheng, Xing Luo Dan, Guo Hao Ran",nan,
General Order (2024),"Historical, Mystery, Romance, Fantasy",24.0,,7.1,9383.0,884,"Cheng Yu Feng, Qiao Jing Wen, Li Zhen Xiao, Lu Ming, Liu Xin Nian",nan,
Their Wonderful Time (2024),"Romance, Fantasy",26.0,,7.1,9410.0,"2,628","Zhou Jie Qiong, Ge Qiu Gu, Zhang Si Fan, Miffy Shi, Bai Zhi Jie, Yu Zi Yang",nan,
Dual Love (2024),"Romance, Wuxia, Drama",23.0,,7.1,9413.0,"1,098","Dai Gao Zheng, Si Yue, Wang Xu Dong, Cao Tian Kai, Cheng Mu Xuan, Zhang Yu Cheng",nan,
Moment of Silence (2024),Thriller,20.0,,7.0,9573.0,"1,070","Bai Xu Han, Liu Yan Qiao, Zhao Xi Xi, Huang Hao Wen, Canti Lau",nan,
Save It for the Honeymoon (2024),Romance,23.0,,7.0,9726.0,939,"Guan Yue, Lin Xiao Zhai, Leng Xin Qing, Feng Xiang, Qin Yue, Chen Yang",nan,
Rainforest Passions (2024),"Action, Mystery, Romance",30.0,,7.1,9374.0,"1,765","Dai Gao Zheng, Zheng Miao, Yuan Da Sen, Yu Xi, Zuo Jin Zhu, Wang Guo Hua",nan,
Love in a Dream (2024),"Historical, Romance, Drama",24.0,,7.0,9858.0,"1,001","Huangyang Tian Tian, Zhang Jing Yun, Chu Xiao Long, Wang Xiao Shi, Li Bai Hui, Qiu Hong Kai",nan,
Agarwood Like a Dream (2024),"Thriller, Historical, Romance",20.0,,7.0,9911.0,720,"Li Jiu Lin, Zhang Ya Zhuo, Ran Xu, Ma Jun Ke, Du Xia Jian, Shang Guan Tong",nan,
Flame Bride (2024),"Historical, Romance",28.0,,6.9,10035.0,647,"Lin Yan Rou, Cavan Wen, Hank Qi, Xu Ruo Tong, Feng Huan Huan, Liu Wei Zhou",nan,
Beloved of a Lifetime (2024),"Romance, Wuxia, Drama, Fantasy",26.0,,6.9,10164.0,"1,001","Zhong Li Li, Guan Yue, Xie An Ran, Wu Hai, Yin Rui, Jiao Xue Rui",nan,
Life Is Drama (2024),"Romance, Drama",24.0,,6.9,10202.0,867,"Wang Xuan, Pu Yu Tong, Zhou Qian",nan,
Orange Soda (2024),"Romance, Youth, Drama",20.0,,6.9,10247.0,"1,255","Eleanor Lee, He Chang Xi, Hollis, Jin Mei Chen, Zhu La La, Kong Bi Yu",nan,
Romantic Boyfriend (2024),Romance,24.0,,6.8,10378.0,"1,011","Duan Xiao Wei, Cai Zheng Jie, Jennifer Zhou, Chen Mu, Liu Wan Ting, Liu Man",nan,
The Silent Wife (2024),"Romance, Drama",24.0,,6.7,10575.0,"1,611","Teng Ze Wen, Tian Xu Ning, Liu Xin Nian, Tong Liang, Wang Zhi Yong, Cai Hai Ting",nan,
A Beautiful Lie (2024),"Romance, Life, Drama",36.0,,6.4,11027.0,"6,499","Chen Xing Xu, Zhang Yu Xi, Wang Sen, Chen Hao Lan, Lin Xin Yi, Yang Bing Zhuo",nan,
Inverse Identity (2024),Romance,9.0,,6.0,11234.0,"2,081",,nan,
Moments of Youth (2024),"Comedy, Romance, Youth, Drama",24.0,,7.3,61126.0,403,"Wu Yu Heng, Zhou Yan Chen, Yang Xi Zi, Lam King Kong, Lin Xin Meng, Sun Kai",nan,
Shen Qing You Yin (2024),Romance,99.0,,7.4,59556.0,152,,nan,
In the Grip of Love (2024),Romance,30.0,,7.3,60959.0,541,"Ai Xiao Qi, Cheng Yu Feng, Ni Han Jin, Feng Wan He, Xu Yi Wen, Peng Yi Han",nan,
The Cycle of Xia Yang (2024),"Mystery, Romance, Drama, Fantasy",85.0,,7.0,65983.0,111,"Xu Meng Yuan, He Jian Qi",nan,
An Actor's Rhapsody Season 2 (2024),"Historical, Comedy, Romance",24.0,,7.0,67463.0,86,"Chen Teng Yue, Cao Xi Yue, Wang Jia Li, Suo Lang Mei Qi, Joy, Jin Lu Ying",nan,
Nan Zong Zhe Ci Wan Da Le (2024),"Comedy, Romance",97.0,,7.0,66913.0,42,,nan,
Proud and Partial (2024),Romance,99.0,,6.2,76206.0,55,,nan,
"Fu Shao, Nin Fu Ren Ma Jia Cang Bu Zhu Le (2024)",Romance,79.0,,6.4,75363.0,14,,nan,
Tian Tang Mei You Yi Wang (2024),,60.0,,5.9,77787.0,7,,nan,
Survival Code (2024),"Adventure, Romance, Drama",34.0,,,45127.0,288,,nan,
Love in B&B,"Comedy, Romance, Drama",12.0,,,45688.0,"1,052",,nan,
She and Her Girls (2024),"Youth, Drama",23.0,,8.4,47414.0,955,"Song Jia, Lan Xi Ya, Du Lan, Nie Yuan, Zhang Yue, Zhai Zi Lu",nan,
Defenders of the Hidden (2024),Documentary,2.0,,8.4,47634.0,128,Wang Yi Bo,nan,
Growing Together (2024),"Comedy, Family",40.0,,8.2,48441.0,208,"Zhang Jia Yi, Chen Hao, Wang Yu Xuan, Wei Ruo Jin, Wang Xiao Chen, Ling Zi",nan,
Wings of the Nation (2024),Military,35.0,,8.2,48666.0,237,"Zhu Ya Wen, Hou Yong, Li You Bin, Du Chun, Tong Lei, Zhang Yao",nan,
Jia You Ba Shao Nian (2024),"Comedy, Youth",24.0,,8.1,49175.0,617,"Roy Xie, Zhang Chen Xiao, Elmira Yi, Su Zi Yi, Liu Tang Hui, Hu Bo Wen",nan,
Romance in the Alley (2024),"Romance, Life, Family, Melodrama",40.0,,7.9,3150.0,"1,374","Yan Ni, Li Guang Jie, Guo Xiao Dong, Jiang Xin, Fan Cheng Cheng, Guan Xiao Tong",nan,
The Song Dynasty (2024),"Historical, Romance",27.0,,8.1,49324.0,107,,nan,
The Favourite: Part 1 (2024),,36.0,,7.6,54194.0,45,"Wang Bo, Zhao Fei, Zhang Shan Shan",nan,
Sunrise on the River (2024),"Thriller, Mystery, Drama",24.0,,8.1,49043.0,323,"Huang Zhi Zhong, Mei Ting, Jiang Wu, Zhang Guo Qiang, Su Ke, Li Qiang",nan,
The Great Nobody (2024),"Historical, Comedy",14.0,,8.0,49665.0,131,"Tu Dou, Lu Yan, Zhang Da Bao, Ma Xu Dong, Zhang Xiao Wan, Tang Xiao Tian",nan,
Fu Hua Meng (2024),"Historical, Fantasy",32.0,,7.9,50691.0,117,,nan,
Teresa Teng (2024),"Music, Historical, Life",48.0,,7.9,51167.0,385,"Michelle Chen, Peter Ho, Jiang Shan, Peng Guan Ying, Hou Yong, Coco Lyu",nan,
Escape from the Trilateral Slopes (2024),"Adventure, Thriller, Mystery",21.0,,7.9,50499.0,544,"Guo Qi Lin, Francis Ng, Jiang Qi Lin, Wei Wei, Qian Jie, Zhao Run Nan",nan,
The City of Sunlight (2024),Drama,21.0,,7.8,51491.0,193,"Zhou You, Yangshik Tso, Zhang Tong, Wang Zhuo Cuo, Duo Bu Jie, Yan Xiao Pin",nan,
Born to Be the One (2024),"Drama, Family",37.0,,7.9,51216.0,351,"Yin Tao, Lawrence Wang, Zhang Ruo Nan, Zhang Zhe Hua, Amy Chen, Qin Jun Jie",nan,
Rich Families Chasing My Pet (2024),"Comedy, Romance, Fantasy",50.0,,7.9,51152.0,79,,nan,
Lost Identity (2024),"Historical, Mystery, Crime, War",40.0,,7.9,51198.0,862,"Johnny Huang, Xin Zhi Lei, Kido Ma, Ma Yue, Luo Qiu Yun, Dong Xuan",nan,
Hi Mom (2024),"Romance, Drama, Fantasy",82.0,,7.9,51266.0,262,,nan,
Battle of Shangganling (2024),"Action, Military, Historical, War",24.0,,7.9,51356.0,164,"Huang Xuan, Wang Lei, Yuan Wen Kang, Pan Bin Long, Liu Hao Cun, Zhao Run Nan",nan,
We Are Criminal Police (2024),Action,38.0,,7.8,51577.0,216,"Yu He Wei, Fu Da Long, Bai Fan, Ding Yong Dai, Ma Su, Huang Man",nan,
Soul Sisters (2024),"Comedy, Wuxia",24.0,,7.8,52004.0,371,"Vicky Liang, Yang Fu Yu, Ye Yi, Chen Sheng Heng, Chang Jin, Benjamin Zhang",nan,
The Wind of Journey (2024),"Food, Romance, Life",18.0,,7.8,51988.0,138,,nan,
Like a Flowing River Season 3 (2024),"Historical, Business, Life",33.0,,7.6,54176.0,276,"Wang Kai, Yang Shuo, Dong Zi Jian, Yang Cai Yu, Bu Yu Xin, Liu Dan",nan,
My Best Friend Sees Me Spoiled (2024),Romance,52.0,,7.4,59536.0,55,,nan,
Bank on Me (2024),Drama,26.0,,7.6,54394.0,206.0,"Bai Yu, Wang Zhi Fei, Dong Yong, Li Nai Wen, Wang You Jun, Ren Bin",nan,
Detective Chinatown Season 2 (2024),"Action, Thriller, Mystery, Comedy",16.0,,7.8,52463.0,592.0,"Roy Chiu, Shang Yu Xian, Yvonne Yung, Yu Hao Ming, Baby Zhang, Jiang Yun Lin",nan,
Ming Ri You Qing Tian (2024),"Life, Youth, Drama",16.0,,7.7,52681.0,265.0,,nan,
An Lian De Xiao Qing Mei Ta Ren Mei Ge Tian (2024),Romance,86.0,,7.7,53274.0,173.0,,nan,
San Wan Ying Chi De An Lian (2024),Romance,91.0,,7.7,53010.0,262.0,,nan,
Deep as the Sea Love Becomes Empty (2024),Drama,30.0,,7.5,56817.0,75.0,,nan,
Days of Tranquility (2024),"Romance, Life",12.0,,7.6,55626.0,37.0,"Yu Lang, Jiang Qi Lin, Guo Jing Lin, Chi Jia, Xu Ke Long, Li Jia Wei",nan,
For the Young Ones (2024),"Thriller, Crime, Drama, Family",18.0,,7.6,54175.0,516.0,"Zhang Yi, Qin Lan, Wang Zhen Er, Zou Yuan Qing, Jia Xiao Han, Jiang Jun",nan,
You Coexist with Tenderness (2024),"Romance, Drama",89.0,,7.4,58641.0,126.0,,nan,
Heiress Reborn (2024),"Romance, Fantasy",24.0,,7.7,53051.0,532.0,"Chen Fang Tong, Hei Ze, Wang Cheng, Li Zi Yi, Jiang Yu Shun, Zhang Yi Ke",nan,
Define Your Style (2024),Romance,101.0,,7.6,54197.0,118.0,,nan,
Go Where You Are (2024),Romance,74.0,,7.5,55957.0,321.0,,nan,
The Queen of Winter (2024),"Romance, Drama",70.0,,7.6,55389.0,335.0,,nan,
The Storm of Roses (2024),Business,40.0,,7.6,54337.0,273.0,"Tan Zhuo, Liu Yi Jun, Gao Ye, Lin Yu Shen, Wei Ran, Yan Shi Kui",nan,
Shan Hun Gao Leng Ji Zhang Da Ren (2024),Romance,92.0,,7.6,55290.0,151.0,,nan,
Love Miss (2024),"Romance, Youth",101.0,,7.6,54810.0,78.0,,nan,
Scout Hero (2024),"Military, Drama, War",32.0,,7.7,53666.0,270.0,"Luo Jin, Ma Si Chun, Cao Lu, Huang Cheng Cheng, Shang Bai, Yang Fan",nan,
Jiao Guan De Shou Hu (2024),Romance,89.0,,7.6,54637.0,34.0,"Marshal Zhang, Zou Jia Jia",nan,
Tou Ting Wo Xin Sheng Hou Huang Di Bang Wo Qu Gong Dou (2024),"Historical, Romance, Fantasy",71.0,,7.6,55033.0,22.0,,nan,
Jiang Xiao Jie Ta Xia Shan Le (2024),"Comedy, Romance",149.0,,7.6,54469.0,325.0,,nan,
Just in Time (2024),"Drama, Family",40.0,,7.6,55613.0,241,"Qin Hai Lu, Bao Jian Feng, Zuo Xiao Qing, Tian Yu, Pan Zhi Lin, Du Yuan",nan,
Moonlight Remains Gentle (2024),Romance,81.0,,7.7,53849.0,49,,nan,
Bei Xie Yi Sheng Ju Jia Hao You 99 Ci (2024),"Comedy, Romance",90.0,,7.5,55711.0,205,,nan,
In the Name of the Brother (2024),"Thriller, Historical, Mystery, Political",40.0,,7.6,54851.0,997,"Qin Hao, Yang Mi, Zhang Zi Xian, Luan Yuan Hui, Rain Wang, Liu Yu Xuan",nan,
Prince of Beijing Circle (2024),"Comedy, Romance",75.0,,7.6,54912.0,261,,nan,
City of the City (2024),"Business, Drama",40.0,,7.6,55321.0,465,"Bai Yu Fan, Yu He Wei, Xia Meng, Long Ni, Lawrence Wang, Feng Jia Yi",nan,
Crush the Village Husband (2024),"Historical, Comedy, Romance, Fantasy",65.0,,7.3,60273.0,19,,nan,
The Gate of Xuan Wu (2024),"Historical, Romance, Crime",41.0,,7.6,55555.0,222,"Ren Zhong, Tong Lei, Li Yi Xiao, Zhang Feng Yi, Liu Ren He, Xin Yi",nan,
Braveness of the Ming (2024),"Romance, Wuxia, Drama, Fantasy",60.0,,7.2,61978.0,"4,689","Hans Zhang, Park Min Young, Jeremy Tsui, Shawn Wei, Tony Chen, Guo Xing",nan,
Simple Days (2024),"Life, Family",26.0,,7.5,56072.0,997,"Chen Xiao, Tong Yao, Sa Ri Na, Ying Er, Qiao Zhen Yu, Yu Hao Ming",nan,
Mr. Pei Loves Her so Much (2024),"Romance, Drama",99.0,,7.6,55395.0,343,,nan,
Ding Ji Hao Men Zong Cai Cheng Le Wo De Jin Si Que (2024),"Comedy, Romance",85.0,,7.5,56076.0,226,,nan,
Evening Star for You (2024),"Romance, Drama",100.0,,7.4,58039.0,198,,nan,
Player Ten Season 2 (2024),,9.0,,7.6,55624.0,90,,nan,
He He You Ming (2024),Romance,87.0,,7.5,56131.0,90,,nan,
That Year Love Letter (2024),Romance,80.0,,7.4,58579.0,67,,nan,
A Soldier's Story (2024),"Historical, Comedy",24.0,,7.4,57937.0,149,"Jiang Long, Shi Ce, Qin Hai Lu, You Yong, Jiang Yi, Liu Pei Qi",nan,
Embracing the Stars Together (2024),"Romance, Youth",24.0,,7.5,56814.0,928,"Wu Qian Ying, Victor Liu, Li Jia Jia, Pan Lu Yu, Zhang Shi An, Bellamy",nan,
Let Wind Goes By (2024),Mystery,24.0,,7.5,57305.0,246,"Wang Jing Chun, Jiang Qi Ming, Yang Cai Yu, Wu Xiao Liang, Tan Kai, Una You",nan,
Really Want You to Know (2024),Romance,70.0,,7.5,57173.0,115,,nan,
The Story of Pearl Girl (2024),"Historical, Business, Romance, Drama",40.0,,8.2,1379.0,"18,947","Zhao Lu Si, Liu Yu Ning, Tang Xiao Tian, Yu Yong Hai, Shang Wan Qing, Chloe Xie",nan,
Love of Nirvana (2024),"Romance, Wuxia, Drama, Political",40.0,,8.2,1322.0,"8,561","Ren Jia Lun, Landy Li, Jeremy Tsui, Gao Han, Zhang Feng Yi, Wen Zheng Rong",nan,
You Are My Lover Friend (2024),"Romance, Youth, Drama",30.0,,8.2,1345.0,"11,078","Zhang Xin Cheng, Wang Yu Wen, Wu Jun Ting, Luo Qiu Yun, Guan Yue, Guo Yun Qi",nan,
The Land of Warriors (2024),"Romance, Wuxia, Fantasy",38.0,,8.3,1184.0,"5,683","Zhou Yi Ran, Zhang Yu Xi, Ding Jia Yi, Luke Chen, Snow Kong, Zhou Jing Bo",nan,
Lost You Forever Season 2 (2024),"Romance, Wuxia, Drama, Fantasy",23.0,,8.2,1394.0,"7,209","Yang Zi, Zhang Wan Yi, Deng Wei, Tan Jian Ci, Wang Hong Yi, Dai Lu Wa",nan,
You Are My Secret (2024),"Romance, Life",32.0,,8.2,1386.0,"15,056","Karlina Zhang, Miles Wei, Wang Zhen Er, Zhou Cheng Ao, Dai Yun Fan, Ke Ying",nan,
The Princess Royal (2024),"Historical, Romance, Fantasy",40.0,,8.2,1405.0,"17,599","Zhao Jin Mai, Zhang Ling He, Chen He Yi, Liu Xu Wei, Cheng Guo, He Qiu",nan,
19th Floor (2024),"Adventure, Thriller, Mystery, Youth",30.0,,8.2,1419.0,"7,853","Sun Qian, Miles Wei, Bai Shu, Rachel Wang, Tao Hai, Xiao Kai Zhong",nan,
The Tale of Rose (2024),"Romance, Life",38.0,,8.2,1425.0,"6,063","Crystal Liu, Tong Da Wei, Wan Qian, Zhu Zhu, Wu Bi, Wang Yan Yang",nan,
White Cat Legend (2024),"Adventure, Historical, Mystery, Fantasy",36.0,,8.2,1431.0,"6,186","Ding Yu Xi, Zhou Qi, Ding Jia Wen, Zhang Yi Cong, Miles Wei, Feng Man",nan,
Adventure behind the Bronze Door (2024),"Action, Adventure, Mystery, Horror",32.0,,8.2,1462.0,"2,505","Edward Zhang, Janice Man, Chen Ming Hao, Zhang Kang Le, Shawn Wei, Di Ma",nan,
The First Shot (2024),"Thriller, Mystery, Drama",32.0,,8.2,1560.0,"2,485","Johnny Huang, Zhang Yu, Wang Zi Qi, Chloe Xie, Liu Run Nan, Zhao Yu Tong",nan,
Regeneration (2024),"Thriller, Mystery",10.0,,8.2,1618.0,"3,474","Jing Bo Ran, Zhou Yi Ran, Wang Yan Hui, Chen Yu Xian, Huang Jue, He Liao Lu Yun",nan,
Bright Time (2024),"Romance, Life, Youth",32.0,,8.2,1493.0,"2,632","Hao Fu Shen, Bian Cheng, Huang Zi Xing, Gu Shu Qi, Bian Tian Yang, Li Zhe Hao",nan,
Love Endures (2024),"Romance, Life, Youth, Drama",32.0,,8.1,1730.0,"8,347","Yang Zi, Fan Cheng Cheng, Zhu Yan Man Zi, Wang Qian Yue, Fang Yue Qiao, Zhao Rui",nan,
Sword and Fairy 4 (2024),"Romance, Wuxia, Fantasy",36.0,,8.1,1866.0,"7,847","Chen Zhe Yuan, Ju Jing Yi, Mao Zi Jun, Mao Xiao Hui, Wang Duo, Wang Yuan Ke",nan,
As Beautiful as You (2024),"Business, Comedy, Romance",40.0,,8.1,1831.0,"18,828","Tan Song Yun, Xu Kai, He Rui Xian, Gao Han, Tang Zhen Chao, Luo Peng",nan,
Melody of Golden Age (2024),"Historical, Mystery, Romance, Drama",40.0,,8.1,1901.0,"11,139","Ding Yu Xi, Ancy Deng, Mao Zi Jun, Xiao Yan, Amber Song, Ethan Yao",nan,
The Way Home (2024),"Youth, Drama, Family",16.0,,8.1,1875.0,"2,473","Mark Ma, Zhang Kang Le, Vivi Chen, Yuan Ming Ze, Yao Jing Yuan, Fu Yu Shu",nan,
Different Princess (2024),"Historical, Mystery, Romance, Fantasy",36.0,,8.1,2069.0,"6,184","Ireine Song, Ding Ze Ren, Zhu Rong Jun, Sun Zu Jun, Zhang Yue Nan, Lin Lu",nan,
In Blossom (2024),"Thriller, Historical, Romance, Fantasy",32.0,,8.1,2117.0,"13,106","Ju Jing Yi, Liu Xue Yi, Wu Jia Yi, Li Ge Yang, Qi Pei Xin, Ding Jie",nan,
Blue Canvas of Youthful Days (2024),"Romance, Youth, Family",12.0,,8.0,2168.0,"10,105","Guo Jia Le, Zhang Xuan Yu, Xiao Zi Zhuo, Yao Xing Hao, Hu Ze Ming, Li Jue Xuan",nan,
Thousands of Years of Love (2024),"Romance, Wuxia, Fantasy",22.0,,8.0,2176.0,"3,674","Yu Xuan Chen, Tu Zhi Ying, Kepler, Sun Yan En, Hao Yi Ran, Yuan Zi Ming",nan,
Hard to Find (2024),"Historical, Romance, Drama, Fantasy",28.0,,8.0,2166.0,"5,756","Zhao Yi Qin, Shen Yu Jie, Fang Xiao Dong, Guo Jia Yu, Wang Ze Xuan, Kay Song",nan,
Dark Night and Dawn (2024),"Thriller, Historical, Mystery, Crime",38.0,,8.0,2202.0,"2,901","Chen Zhe Yuan, Nie Yuan, Xing Fei, Annabel Yao, Wang Zhi Wen, Sun Yan",nan,
Burning Flames (2024),"Wuxia, Drama, Fantasy",40.0,,8.0,2332.0,"7,048","Ren Jia Lun, Xing Fei, Zhu Xu Dan, Yan Yi Kuan, Zhu Zheng Ting, Jiang Xin",nan,
Riverside Code at Qingming Festival (2024),"Thriller, Historical, Mystery",26.0,,8.0,2379.0,"1,483","Zhang Song Wen, Bai Bai He, Zhou Yi Wei, Hou Yan Song, Gala Zhang, Xia Meng",nan,
Always on the Move (2024),"Romance, Drama, Family",39.0,,8.0,2358.0,"1,931","Bai Jing Ting, Ding Yong Dai, Gina Jin, Zuo Xiao Qing, Liu Jun, Jiang Yan",nan,
Yong An Dream (2024),"Historical, Mystery, Romance, Fantasy",24.0,,8.0,2405.0,"4,157","Nana Ouyang, Jeremy Tsui, Sun Jian, Xia Nan, Yang Zhen, Liu Hai Kuan",nan,
Born to Run (2024),"Life, Family",28.0,,8.0,2497.0,"1,466","Zhong Chu Xi, Yang Chao Yue, Xu Di, Chen Xiao Yi, Hou Wen Yuan, Song Yang",nan,
Wind Direction (2024),"Adventure, Romance, Life, Youth",30.0,,8.0,2451.0,"1,941","Sun Qian, Zhai Zi Lu, Liu Lin, Tian Yu, Li Nai Wen, Zeng Li",nan,
The Best Day of My Life (2024),"Romance, Youth",14.0,,8.0,2552.0,"12,447","Zhang Jiong Min, Jiang Zhi Nan, Wang Chuan, Yan Zhi Chao, Sheng Yi Chen, Zhang You Wei",nan,
Heroes (2024),"Action, Adventure, Historical, Mystery",36.0,,8.0,2503.0,"2,247","Qin Jun Jie, Liu Yu Ning, Pang Han Chen, Maggie Huang, Jinna Fu, Chen Tian Ming",nan,
Kill Me Love Me (2024),"Historical, Mystery, Romance, Political",32.0,,7.9,2676.0,"14,682","Liu Xue Yi, Wu Jin Yan, Bi Wen Jun, Zhao Xiao Tang, Baron Chen, Huang Ri Ying",nan,
Tender Light (2024),"Thriller, Mystery, Romance, Drama",28.0,,7.9,2657.0,"2,526","Tong Yao, Zhang Xin Cheng, Chen Yu Tong, Ye Zu Xin, Wang Zi Xuan, Zhao Hao Hong",nan,
Begin Again (2024),"Romance, Life, Drama",18.0,,8.0,2576.0,"1,947","Zhong Chu Xi, Elvis Han, Amy Chen, Sunny Sun, Geng Le, Ni Hong Jie",nan,
Love Song in Winter (2024),"Thriller, Mystery, Romance, Drama",36.0,,7.9,2849.0,"7,548","Johnny Huang, Sun Qian, Kira Shi, Wang Tian Chen, Xiao Kai Zhong, Guan Zi Jing",nan,
Strange Tales of Jiang Cheng (2024),"Thriller, Historical, Mystery, Horror",52.0,,7.9,2714.0,"2,249","Xia Zhi Guang, Caesar Wu, Wang Zhi Yi, Hei Zi, Zhu Tie, Xiao Yin",nan,
Follow Your Heart (2024),"Historical, Mystery, Romance, Supernatural",40.0,,7.9,2818.0,"9,208","Luo Yun Xi, Song Yi, Sebrina Chen, Huang Ri Ying, Ryan Cheng, Gu Zi Cheng",nan,
Everyone Loves Me (2024),"Comedy, Romance, Youth",24.0,,7.9,2816.0,"26,198","Lin Yi, Zhou Ye, Melody Tang, Jiang Yi Ming, Zhan Yu, Hong Yao",nan,
Hero Is Back (2024),"Action, Adventure, Romance, Fantasy",24.0,,7.9,2908.0,"2,242","Ao Rui Peng, Jin Jia, Zhang Yu Xi, Liu Mei Tong, Li Jun Yi, Xu Shi Yue",nan,
Link Click (2024),"Action, Fantasy, Supernatural",24.0,,7.9,2643.0,"2,450","Jiang Long, Bi Wen Jun, Bu Guan Jin, Liu Chang, Jiang Yi Ru, Xue Jia Ning",nan,
Deep Lurk (2024),"Action, Thriller, Historical, Crime",38.0,,7.9,2887.0,"2,010","Cheng Yi, Ying Er, Han Dong, Liu Huan, Hou Meng Yao, Zhang Tian Yang",nan,
Eternal Brotherhood (2024),"Action, Historical, Sci-Fi, Fantasy",24.0,,7.9,2933.0,"3,466","Yang Xu Wen, Liu Yu Ning, Zhang Ming En, Li Mo Zhi, Gu Lan Di, Dong Bo Liang",nan,
Fortune Writer (2024),"Historical, Romance, Fantasy",24.0,,7.9,2883.0,"3,291","Daisy Li, Ye Sheng Jia, Zhao Mu Yan, Liu Shang Lin, Du Gong Hai, Wang Xue Xi",nan,
Lost in the Shadows (2024),"Thriller, Mystery, Drama, Family",16.0,,7.9,3065.0,886,"Zhang Song Wen, Rong Zi Shan, Cheng Tai Shen, Chen Yu Si, Li Jian, Zhao Hua Wei",nan,
Fateful Love (2024),"Romance, Wuxia, Drama, Fantasy",40.0,,7.8,3276.0,"5,733","Hans Zhang, Zhu Xu Dan, Yao Chi, Hai Ling, Ryan Ren, Wang Hao Xiang",nan,
Judge Dee's Mystery (2024),"Thriller, Historical, Mystery",32.0,,7.9,3202.0,"2,945","Zhou Yi Wei, Wang Li Kun, Zhong Chu Xi, Zhang Jia Yi, Jason Kang, You Yong",nan,
Go East (2024),"Historical, Comedy, Romance",37.0,,7.9,3208.0,"4,196","Tan Jian Ci, Zhou Yi Ran, Du Chun, Adi Kan, Wei Zi Xin, Shawn Zhang",nan,
Secrets of the Shadow Sect (2024),"Romance, Wuxia",24.0,,7.8,3268.0,"3,560","Hu Yi Yao, Lin Ze Hui, Yuan Zi Ming, Wang Jiu Sheng, Wu Tian Hao, Zhang Hao Sen",nan,
Pegasus (2024),"Comedy, Youth, Sports, Fantasy",28.0,,7.8,3359.0,"1,257","Hu Xian Xu, Wang Yan Lin, Yu En Tai, Yan He Xiang, Jeremy Qu, Chen Yu Xian",nan,
"Present, Is Present (2024)","Thriller, Mystery, Romance, Fantasy",16.0,,7.8,3403.0,"6,844","Fan Zhi Xin, Tu Bing, Song Yi Xiong, Shi Yuan Ting, Lin Ai Jia, Shi Guang",nan,
Running Like a Shooting Star (2024),"Youth, Sports",24.0,,7.8,3251.0,"1,238","Gan Wang Xing, Jin Xiao, Mai Wu Lan, Zhou Yan Zhe, Min Zheng, Gao Sheng Hao Yu",nan,
Snowy Night Timeless Love (2024),"Romance, Wuxia, Fantasy",32.0,,7.8,3415.0,"5,675","Li Qin, Joseph Zeng, Wang Hong Yi, Edward Chen, Jenny Zeng, Kim Jin",nan,
